Artist,Track,Album,Album_type,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack (Without Dialogue),album,3.503333333,Lady Gaga - Always Remember Us This Way (from A Star Is Born) (Official Music Video),LadyGagaVEVO,428487364,2429751,48668,TRUE,TRUE,903516947,0.657068063,Spotify
Lady Gaga,Just Dance,The Fame,album,4.032216667,Lady Gaga - Just Dance (Official Music Video) ft. Colby O'Donis,LadyGagaVEVO,398621640,1733062,83136,TRUE,TRUE,701036282,4.082872928,Spotify
Lady Gaga,Poker Face,The Fame,album,3.953333333,Lady Gaga - Poker Face (Official Music Video),LadyGagaVEVO,1095354937,6103722,276401,TRUE,TRUE,852750053,6.661157025,Youtube
Lady Gaga,Judas,Born This Way,album,4.151116667,Lady Gaga - Judas (Official Music Video),LadyGagaVEVO,439580527,2488793,349613,TRUE,TRUE,278948888,2.63943662,Youtube
Lady Gaga,Applause,ARTPOP,album,3.538883333,Lady Gaga - Applause (Official Music Video),LadyGagaVEVO,414170299,2515961,525342,TRUE,TRUE,384423735,5.454545455,Youtube
Lady Gaga,Hold My Hand,Top Gun: Maverick (Music From The Motion Picture),album,3.754666667,Lady Gaga - Hold My Hand (From    Top Gun: Maverick   ) [Official Music Video],LadyGagaVEVO,146295690,1321636,57404,TRUE,TRUE,176029778,1.557251908,Spotify
Lady Gaga,Million Reasons,Joanne (Deluxe),album,3.421333333,Lady Gaga - Million Reasons (Official Music Video),LadyGagaVEVO,306744336,2230653,64592,TRUE,TRUE,683487486,3.990566038,Spotify
Drake,Rich Flex,Her Loss,album,3.989333333,Drake ft. 21 Savage Rich Flex (Music Video),RAPTRAX,3927054,54758,2569,FALSE,FALSE,311694937,1.464788732,Spotify
Drake,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",album,3.639416667,Drake & 21 Savage - Jimmy Cooks,Drake,12454414,461655,14486,FALSE,TRUE,413205085,7.23655914,Spotify
Drake,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,album,3.164883333,"Future - WAIT FOR U (Official Audio) ft. Drake, Tems",FutureVEVO,91997342,533458,9377,TRUE,TRUE,394495536,9.358600583,Spotify
Drake,Pussy & Millions (feat. Travis Scott),Her Loss,album,4.033783333,Drake & 21 Savage - Pussy & Millions ft. Travis Scott,Cash Money Records,1166342,3790,78,FALSE,FALSE,119787835,1.78470255,Spotify
Drake,One Dance,Views,album,2.899783333,Drake - One Dance (Lyrics) ft. Wizkid & Kyla,Billion Stars,169288294,1662640,13775,FALSE,FALSE,2522431995,1.899696049,Spotify
Drake,On BS,Her Loss,album,4.359066667,21 Savage ft. Drake On BS (Music Video),Rap Radio,213124,3427,120,FALSE,FALSE,100595022,0.917948718,Spotify
Drake,God's Plan,Scorpion,album,3.316216667,Drake - God's Plan,DrakeVEVO,1467723572,15244903,599109,TRUE,TRUE,2102889031,0.813405797,Spotify
Drake,Major Distribution,Her Loss,album,2.8417,"Drake, 21 Savage Major Distribution (Music Video)",RAPTRAX,36803,627,19,FALSE,FALSE,107919519,7.722772277,Spotify
Drake,Spin Bout U,Her Loss,album,3.576483333,"Drake, 21 Savage Spin Bout U (Music Video)",RAPTRAX,1112065,8576,154,FALSE,FALSE,87618118,4.300613497,Spotify
Drake,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,album,4.049433333,"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat",DrakeVEVO,74246156,796560,26242,TRUE,TRUE,501420741,5.083932854,Spotify
Nicki Minaj,Super Freaky Girl,Queen Radio: Volume 1,album,2.849616667,Nicki Minaj - Super Freaky Girl (Official Music Video),NickiMinajAtVEVO,37428830,1073851,71753,TRUE,TRUE,328588535,2.735202492,Spotify
Nicki Minaj,Tukoh Taka - Official FIFA Fan Festival    Anthem,Tukoh Taka (Official FIFA Fan Festival   Anthem),single,2.9755,"Tukoh Taka - Official FIFA Fan Festival    Anthem | Nicki Minaj, Maluma, & Myriam Fares (FIFA Sound)",FIFA,115308167,1592128,140704,FALSE,TRUE,37458146,8.457943925,Youtube
Nicki Minaj,Bang Bang,Sweet Talker (Deluxe Version),album,3.323116667,"Jessie J, Ariana Grande, Nicki Minaj - Bang Bang (Official Video)",JessieJVEVO,1892442904,10635137,272545,TRUE,TRUE,1125379891,2.068421053,Youtube
Nicki Minaj,Super Bass,Pink Friday (Complete Edition),album,3.33355,Nicki Minaj - Super Bass,NickiMinajAtVEVO,961031939,4505284,469284,TRUE,TRUE,616294452,1.43812709,Youtube
Nicki Minaj,Starships,Pink Friday ... Roman Reloaded,album,3.51045,Nicki Minaj - Starships (Explicit),NickiMinajAtVEVO,449295724,2863498,227719,TRUE,TRUE,802806166,2.852589641,Spotify
